-28.361	139.974	130	BO	1.93	D
-28.106	140.875	76	BO	1.38	C
-27.57	140.136	144	BO	2.39	D
-28.115	140.875	100	BO	1.08	B
-27.633	140.423	100	BO	2.63	C
-28.04	140.128	104	BO	2.53	C
-28.018	140.256	98	BO	2.58	B
-31.11	116.47	102	FMS	1	C
-31.54	117	93	FMS	3	C
-30.73	117.21	75	FMS	2	C
-33.816	138.984	100	FMS	20.4	C
-27.563	140.651	118	BO	2.08	B
-24.528	149.954	36	HFM	0.68	D
-24.47	150.031	9	HFM	0.57	B
-24.31	149.882	76	HFM	0.6	D
-24.644	149.908	7	HFM	0.41	A
-24.684	149.9	40	HFM	0.52	A
-24.585	149.914	12	HFM	0.37	A
-24.621	149.882	34	HFM	0.59	B
-24.673	149.911	30	HFM	0.42	B
-24.014	148.646	37	HFM	0.11	C
-24.033	148.614	176	HFM	0.18	C
-22.995	148.554	49	HFM	0.17	C
-22.946	148.586	178	HFM	0.08	C
-23.012	148.56	21	HFM	0.14	C
-23.078	148.528	48	HFM	0.1	B
-23.058	148.563	8	HFM	0.19	C
-23.051	148.542	172	HFM	0.09	C
-23.043	148.564	12	HFM	0.16	B
-21.54	148.25	149	HFM	0.07	C
-21.264	147.914	5	HFM	0.14	B
-21.866	148.009	16	HFM	0.26	B
-21.51	148	12	HFM	0.12	B
-21.833	148.058	27	HFM	0.39	B
-21.592	147.967	15	HFM	0.36	B
-21.602	147.957	12	HFM	0.6	B
-21.592	148.173	0	HFM	0.25	C
-33.361	150.161	142	HFM	0.32	D
-33.363	150.163	80	HFM	0.35	B
-33.391	150.162	133	HFM	0.27	D
-33.396	150.158	150	HFM	0.35	D
-33.392	150.16	129	HFM	0.35	C
-33.386	150.15	80	HFM	0.35	B
-33.382	150.145	100	HFM	0.26	D
-33.394	150.149	113	HFM	0.36	D
-33.392	150.145	86	HFM	0.33	D
-33.384	150.145	81	HFM	0.32	C
-33.385	150.14	92	HFM	0.31	C
-33.366	150.14	171	HFM	0.31	C
-32.355	151.256	52	HFM	0.49	C
-32.9	151.244	78	HFM	0.23	C
-33.241	151.196	79	HFM	0.83	A
-33.082	151.4	43	HFM	0.21	B
-33.082	151.4	164	HFM	0.15	C
-33.082	151.4	17	HFM	0.22	D
-33.377	151.383	70	HFM	0.64	B
-32.438	150.835	61	HFM	0.32	B
-32.441	150.802	60	HFM	0.24	B
-32.188	150.849	103	HFM	0.22	D
-33.436	150.239	63	OC	0.2	D
-34.473	150.701	107	OC	0.4	D
-34.255	150.913	0	OC	0.35	D
-34.168	150.951	48	OC	0.5	D
-34.2	150.88	60	OC	0.5	D
-34.236	150.706	5	OC	0.5	D
-34.2	150.554	38	OC	0.43	D
-34.182	150.755	75	OC	0.45	D
-34.018	150.457	74	OC	0.47	D
-33.982	150.473	104	OC	0.3	D
-33.959	151.25	29	OC	0.13	D
-33.182	151.228	66	OC	0.25	D
-32.9	151.6	0	OC	0.1	D
-32.909	151.5	16	OC	0.19	D
-32.9	151.211	59	OC	0.55	D
-32.5	150.952	86	OC	0.08	D
-32.109	150.745	84	OC	0.19	D
-23.707	148.864	20	OC	0.4	D
-23.24	148.082	178	OC	0.23	D
-21.764	148.038	5	OC	0.17	D
-23.08	148.41	7	OC	0.09	D
-21.24	147.947	4	OC	0.11	D
-23.8	148.894	0	OC	0.23	D
-24.76	150.045	23	HFM	0.42	B
-24.76	150.045	4	HFM	0.39	B
-33.819	151.251	178	HFM	0.08	D
-33.83	151.226	140	HFM	0.09	C
-33.88	151.196	179	HFM	0.01	E
-33.882	151.197	11	HFM	0.01	D
-33.872	151.2	8	HFM	0.01	D
-33.892	151.249	37	HFM	0.04	D
-33.972	151.229	37	HFM	0.5	A
-33.897	151.193	41	HFM	0.63	B
-33.972	151.247	25	HFM	0.12	B
-33.825	151.264	36	HFM	0.11	D
-33.892	151.261	48	HFM	0.09	C
-33.959	151.25	23	HFM	0.11	C
-32.661	151.147	145	HFM	0.07	C
-32.591	151.044	146	HFM	0.1	B
-34.191	150.77	18	BO	0.4	C
-27	152.5	45	FMA	10	D
-32.92	115.66	74	BO	3.51	B
-30.168	115.736	99	BO	1.18	B
-29.835	115.414	110	BO	1.83	C
-29.266	115.022	93	BO	1.21	A
-29.145	115.074	95	BO	1.35	C
-29.301	115.171	127	BO	3.45	C
-30.666	115.492	110	BO	2.41	B
