141	-27.25	2315
130.05	-27.3	25.5
130.1	-27.3	7.5002
133.75	-27.3	18.5
134.95	-27.3	144.3
135.15	-27.3	151.7
135.25	-27.3	162.8
135.3	-27.3	362.3
135.45	-27.3	875.9
135.6	-27.3	233.9
135.8	-27.3	843.8
140.25	-27.3	2942
140.95	-27.3	2639
141.8	-27.3	2352.5
133.55	-27.35	22.2
135.9	-27.35	203.5
138.75	-27.35	1582.1
139.85	-27.35	2208
139.95	-27.35	2395
140.55	-27.35	3698
140.8	-27.35	2773.5
140.85	-27.35	2785
139.75	-27.4	2112
139.9	-27.4	2376
140.8	-27.4	2769.75
140.85	-27.4	2753.25
139.75	-27.45	2125
139.9	-27.45	2682
140.2	-27.45	3181
140.35	-27.45	3020
140.95	-27.45	2099
141	-27.45	2124
139.3	-27.5	1805
139.6	-27.5	1992
140.2	-27.5	3218
140.3	-27.5	3193
140.35	-27.5	3163
140.45	-27.5	2869
140.65	-27.5	3280
140.7	-27.5	2304.33333333
140.75	-27.5	2623
140.9	-27.5	2071
135.45	-27.55	434
139.65	-27.55	2061
139.7	-27.55	2380
140.3	-27.55	3186
140.5	-27.55	2947
140.55	-27.55	2270
140.6	-27.55	2420
140.65	-27.55	2248.42857143
140.7	-27.55	2426.2
140.75	-27.55	3050
136.1	-27.6	249
139.2	-27.6	1738
139.65	-27.6	2150
140	-27.6	2887
140.35	-27.6	2832
140.4	-27.6	2460
140.5	-27.6	2408
140.6	-27.6	2187
140.65	-27.6	2609
139.4	-27.65	1957
140.25	-27.65	2543
140.3	-27.65	2543
140.45	-27.65	2904
135.6	-27.7	302
139.35	-27.7	1914
139.4	-27.7	1937
139.55	-27.7	2214
140.1	-27.7	3112
140.2	-27.7	2201
140.25	-27.7	2353.5
135.85	-27.75	342
139.95	-27.75	3149
140.15	-27.75	2406.25
140.2	-27.75	2230.625
133.8	-27.8	371
135.55	-27.8	600.88
135.7	-27.8	29.6
135.8	-27.8	300
139.35	-27.8	1964
139.8	-27.8	2892
140.1	-27.8	2941.5
140.15	-27.8	2568
135.75	-27.85	25
135.8	-27.85	23.1004
136.3	-27.85	177.6
137.85	-27.85	1387
138.65	-27.85	1270
138.9	-27.85	1424
139.25	-27.85	2048
140.1	-27.85	3298
140.55	-27.85	3659
135.65	-27.9	182
135.8	-27.9	12
137.55	-27.9	1749
137.9	-27.9	1630
140.05	-27.9	2425
140.1	-27.9	2949
134.15	-27.95	155.4
135.6	-27.95	289
135.8	-27.95	41.5
137.8	-27.95	1521
139.25	-27.95	1780
139.5	-27.95	2204
139.65	-27.95	2686
139.75	-27.95	3005
140	-27.95	2073
140.05	-27.95	2173.66666667
140.1	-27.95	2776
135.1	-28	207.2
135.8	-28	40.6666666667
138.7	-28	1100.6
139.3	-28	1754
139.35	-28	1950
139.4	-28	1954
139.8	-28	3046
140	-28	2241.9
140.05	-28	2257
140.8	-28	2037.5
140.9	-28	2822
140.95	-28	2932
141	-28	3101.5
133.8	-28.05	796
135.75	-28.05	96
135.8	-28.05	46.6
135.85	-28.05	1.91e-05
139.3	-28.05	1808
139.5	-28.05	2217
139.9	-28.05	2630
139.95	-28.05	2426.5
140	-28.05	2287.75
140.2	-28.05	2957
140.25	-28.05	2857
140.3	-28.05	3148
140.7	-28.05	2251
140.75	-28.05	2148.2
140.8	-28.05	1943
140.85	-28.05	2763.8
140.9	-28.05	2731
140.95	-28.05	3016.4
134.45	-28.1	549
135.7	-28.1	68
135.75	-28.1	56
135.8	-28.1	12.1830575
135.85	-28.1	3.28671
136.45	-28.1	155.4
139.6	-28.1	2188
139.9	-28.1	2629
140.2	-28.1	2858
140.25	-28.1	3083
140.3	-28.1	3089.66666667
140.6	-28.1	2006.33333333
140.65	-28.1	2086.25
140.85	-28.1	2787.25
140.9	-28.1	2719
140.95	-28.1	2546.33333333
135.7	-28.15	69
136	-28.15	182
139.55	-28.15	1912.5
139.6	-28.15	1908.16666667
139.65	-28.15	1962.6
139.85	-28.15	1936
139.9	-28.15	1967.66666667
139.95	-28.15	2523
140	-28.15	2723.5
140.05	-28.15	3142
140.1	-28.15	3242
140.2	-28.15	2866
140.55	-28.15	2405
140.65	-28.15	2035
140.85	-28.15	2739.66666667
140.9	-28.15	2676.4
140.95	-28.15	2527.8
141	-28.15	2612
135.8	-28.2	67
135.85	-28.2	40
135.9	-28.2	51.500025
135.95	-28.2	49
136	-28.2	81
139.55	-28.2	1726
139.6	-28.2	1834.83333333
139.7	-28.2	2246.5
139.8	-28.2	1843.66666667
139.85	-28.2	1872.4
139.9	-28.2	2039
139.95	-28.2	2199.8
140	-28.2	2388
140.05	-28.2	2983
140.25	-28.2	2672
140.3	-28.2	3010.64285714
140.35	-28.2	3127
140.4	-28.2	2476
140.45	-28.2	2501
140.5	-28.2	2434
140.6	-28.2	2185.2
140.65	-28.2	2116
140.75	-28.2	2169.71428571
140.8	-28.2	2639
140.9	-28.2	2750.25
140.95	-28.2	2791
135.35	-28.25	1382
135.7	-28.25	44
135.85	-28.25	60
135.9	-28.25	66.6
139.45	-28.25	1647
139.8	-28.25	1808.5
139.9	-28.25	2121.16666667
140.2	-28.25	3003
140.3	-28.25	3037.25
140.4	-28.25	2961
140.6	-28.25	2084
140.65	-28.25	1934
140.7	-28.25	2092
140.75	-28.25	2328
140.8	-28.25	2288.71428571
140.85	-28.25	2636.75
140.95	-28.25	2757
141	-28.25	2584
135.8	-28.3	30
135.9	-28.3	16
139.4	-28.3	1613
139.75	-28.3	1683
139.8	-28.3	1728
139.85	-28.3	2108.33333333
139.9	-28.3	2262.375
139.95	-28.3	2268
140	-28.3	2308.5
140.05	-28.3	2251
140.1	-28.3	2730
140.35	-28.3	3144
140.5	-28.3	2027
140.55	-28.3	1835.5
140.6	-28.3	2085.5
140.65	-28.3	2289
140.7	-28.3	2316.5
140.75	-28.3	2303
140.8	-28.3	2184.5
140.85	-28.3	2405
140.95	-28.3	2583
135.8	-28.35	18
136.55	-28.35	295
138.7	-28.35	1367
139.9	-28.35	2292.25
139.95	-28.35	2290.8
140	-28.35	2238.2
140.05	-28.35	2355
140.1	-28.35	2670.66666667
140.15	-28.35	2941
140.4	-28.35	2706
140.45	-28.35	2334
140.55	-28.35	1851
140.6	-28.35	2087
140.65	-28.35	2234
140.7	-28.35	2366
140.75	-28.35	2258.75
140.8	-28.35	2272
140.85	-28.35	2458.4
140.95	-28.35	2486.2
135.95	-28.4	2.0002
139.8	-28.4	1758.16666667
139.85	-28.4	1784
139.9	-28.4	2058.5
139.95	-28.4	2350.75
140	-28.4	2332
140.05	-28.4	2531
140.1	-28.4	2779
140.4	-28.4	2258
140.45	-28.4	2142
140.5	-28.4	1616.5
140.55	-28.4	2171
140.7	-28.4	2365
140.75	-28.4	2254.5
